0.000000	6371000.000000	0.000000	384402000.000000
111189.281285	6370029.665844	6708739.931640	384343453.713641
222344.693238	6367118.958948	13415436.316112	384167832.688330
333432.376843	6362268.765941	20118046.228733	383875190.419931
444418.493717	6355480.564241	26814527.989599	383465616.050116
555269.236412	6346756.421598	33502841.785500	382939234.339204
665950.838720	6336098.995471	40180950.291267	382296205.628163
776429.585951	6323511.532215	46846819.290362	381536725.789767
886671.825210	6308997.866094	53498418.294518	380661026.168933
996643.975642	6292562.418111	60133721.162248	379669373.512246
1106312.538665	6274210.194661	66750706.716026	378562069.886711
1215644.108172	6253946.786012	73347359.357955	377339452.587740
1324605.380709	6231778.364592	79921669.683744	376001894.036403
1433163.165615	6207711.683118	86471635.094784	374549801.665993
1541284.395139	6181754.072535	92995260.408164	372983617.797910
1648936.134507	6153913.439781	99490558.464424	371303819.506933
1756085.591956	6124198.265383	105955550.732858	369510918.475891
1862700.128723	6092617.600872	112388267.914198	367605460.839806
1968747.268988	6059181.066023	118786750.540480	365588027.019532
2074194.709764	6023898.845929	125149049.571917	363459231.544950
2179010.330740	5986781.687896	131473226.990595	361219722.867785
2283162.204062	5947840.898170	137757356.390814	358870183.164071
2386618.604061	5907088.338492	143999523.565887	356411328.126362
2489348.016915	5864536.422487	150197827.091227	353843906.745720
2591319.150250	5820198.111881	156350378.903541	351168701.083566
2692500.942671	5774086.912553	162455304.875949	348386526.033460
2792862.573224	5726216.870420	168510745.388865	345498229.072870
2892373.470784	5676602.567162	174514855.896453	342504690.005028
2991003.323368	5625259.115774	180465807.488493	339406820.690932
3088722.087367	5572202.155971	186361787.447486	336205564.771581
3185499.996699	5517447.849417	192200999.800825	332901897.380539
3281307.571876	5461012.874802	197981665.867866	329496824.846894
3376115.628982	5402914.422767	203702024.801730	325991384.388722
3469895.288564	5343170.190664	209360334.125675	322386643.797143
3562617.984431	5281798.377164	214954870.263872	318683701.111058
3654255.472350	5218817.676716	220483929.066421	314883684.282678
3744779.838655	5154247.273851	225945826.328455	310987750.833938
3834163.508747	5088106.837341	231338898.303160	306997087.503905
3922379.255495	5020416.514201	236661502.208573	302912909.887284
4009400.207528	4951196.923561	241912016.727986	298736462.064139
4095199.857420	4880469.150378	247088842.503818	294469016.220932
4179752.069767	4808254.739017	252190402.624792	290111872.263004
4263031.089147	4734575.686687	257215143.106278	285666357.418609
4345011.547962	4659454.436742	262161533.363655	281133825.834632
4425668.474173	4582913.871841	267028066.678536	276515658.164097
4504977.298897	4504977.306982	271813260.657733	271813261.145610
4582913.863897	4425668.482399	276515657.684809	267028067.174853
4659454.428943	4345011.556326	281133825.364079	262161533.868261
4734575.679036	4263031.097645	285666356.956935	257215143.619020
4808254.731515	4179752.078397	290111871.810348	252190403.145513
4880469.143027	4095199.866180	294469015.777433	247088843.032359
4951196.916364	4009400.216414	298736461.629932	241912017.264187
5020416.507161	3922379.264506	302912909.462501	236661502.752270
5088106.830459	3834163.517880	306997087.088675	231338898.854188
5154247.267130	3744779.847906	310987750.428389	225945826.886646
5218817.670157	3654255.481717	314883683.886932	220483929.631605
5281798.370769	3562617.993911	318683700.725236	214954870.835876
5343170.184436	3469895.298155	322386643.421363	209360334.704325
5402914.416707	3376115.638679	325991384.023098	203702025.386850
5461012.868912	3281307.581678	329496824.491537	197981666.459279
5517447.843699	3185500.006602	332901897.035559	192201000.398350
5572202.150428	3088722.097368	336205564.437081	186361788.050940
5625259.110406	2991003.333464	339406820.367014	180465808.097693
5676602.561970	2892373.480973	342504689.691792	174514856.511214
5726216.865407	2792862.583502	345498228.770410	168510746.008999
5774086.907720	2692500.953035	348386525.741869	162455305.501267
5820198.107230	2591319.160697	351168700.802934	156350379.533852
5864536.418019	2489348.027441	353843906.476131	150197827.726340
5907088.334208	2386618.614664	356411327.867898	143999524.205609
5947840.894072	2283162.214738	358870182.916811	137757357.034949
5986781.683985	2179010.341486	361219722.631804	131473227.638947
6023898.842206	2074194.720576	363459231.320321	125149050.224289
6059181.062489	1968747.279863	365588026.806322	118786751.196673
6092617.597529	1862700.139659	367605460.638081	112388268.574012
6124198.262231	1756085.602948	369510918.285712	105955551.396092
6153913.436821	1648936.145553	371303819.328358	99490559.130876
6181754.069768	1541284.406235	372983617.630994	92995261.077631
6207711.680546	1433163.176758	374549801.510785	86471635.767062
6231778.362215	1324605.391894	376001893.892952	79921670.358628
6253946.783830	1215644.119397	377339452.456089	73347360.035241
6274210.192676	1106312.549926	378562069.766900	66750707.395505
6292562.416322	996643.986936	379669373.404312	60133721.843715
6308997.864503	886671.836534	380661026.072908	53498418.977765
6323511.530822	776429.597301	381536725.705682	46846819.975181
6336098.994276	665950.850093	382296205.556042	40180950.977449
6346756.420601	555269.247804	382939234.279070	33502842.472836
6355480.563443	444418.505124	383465616.001987	26814528.677880
6362268.765343	333432.388263	383875190.383822	20118046.917749
6367118.958548	222344.704666	384167832.664250	13415437.005653
6370029.665644	111189.292718	384343453.701599	6708740.621496
6371000.000000	0.011435	384402000.000000	0.689962
6370029.666043	-111189.269851	384343453.725682	-6708739.241783
6367118.959347	-222344.681809	384167832.712409	-13415435.626570
6362268.766540	-333432.365424	383875190.456041	-20118045.539717
6355480.565038	-444418.482309	383465616.098245	-26814527.301318
6346756.422595	-555269.225021	382939234.399338	-33502841.098164
6336098.996666	-665950.827347	382296205.700284	-40180949.605085
6323511.533609	-776429.574601	381536725.873853	-46846818.605543
6308997.867685	-886671.813886	380661026.264957	-53498417.611271
6292562.419899	-996643.964347	379669373.620179	-60133720.480781
